Product_ID,Feature_ID
P1,F1
P1,F2
P1,F3
P1,F4
P1,F5
P1,F6
P2,F1
P2,F2
P2,F3
P2,F4
P2,F5
P2,F6
P3,F1
P3,F7
P3,F8
P3,F9
P3,F10
P3,F11
P3,F12
P3,F13
P4,F1
P4,F2
P4,F3
P4,F4
P4,F5
P4,F6
P4,F7
P4,F8
P4,F9
P4,F10
P4,F11
P4,F12
P4,F13
P4,F14
P4,F15
P4,F16
P4,F17
P4,F18
P4,F19
P4,F20
P4,F21
P4,F22
P4,F23
P4,F24
P4,F25
P4,F26
P4,F27
P4,F28
P5,F17
P5,F18
P5,F19
P5,F20
P5,F21
P5,F22
P5,F23
P5,F24
P5,F25
P5,F26
P5,F28
P5,F29
P5,F30
P5,F31
P5,F32
P5,F33
P5,F34
P5,F35
P5,F36
P5,F37
P6,F1
P6,F2
P6,F3
P6,F4
P6,F5
P6,F6
P6,F7
P6,F8
P6,F9
P6,F10
P6,F11
P6,F12
P6,F13
P6,F14
P6,F15
P6,F16
P6,F17
P6,F18
P6,F19
P6,F20
P6,F21
P6,F22
P6,F23
P6,F24
P6,F25
P6,F26
P6,F27
P6,F29
P6,F30
P6,F31
P6,F32
P6,F33
P6,F34
P6,F35
P6,F36
P6,F37
P6,F38
P6,F39
P6,F40
P6,F41
P6,F42
P7,F1
P7,F2
P7,F3
P7,F4
P7,F5
P7,F6
P7,F7
P7,F8
P7,F17
P7,F18
P7,F19
P7,F20
P7,F21
P7,F22
P7,F24
P7,F25
P7,F38
P7,F40
P7,F41
P7,F42
P7,F43
P7,F44
P7,F45
P7,F46
P7,F47
P8,F14
P8,F7
P8,F15
P8,F47
P8,F48
P8,F6
P8,F40
P8,F29
P8,F27
P8,F37
P8,F17
P8,F18
P8,F19
P8,F38
P8,F21
P8,F22
P8,F23
P8,F24
P8,F31
P8,F26
P8,F32
P8,F49
P8,F16
P8,F45
P8,F8
P8,F42
P8,F39
P9,F50
P9,F51
P9,F52
P9,F53
P9,F54
P9,F6
P9,F20
P9,F55
P9,F56
P9,F57
