Product_ID,Product_Name,Product_Model,Product_Line,Product_Subline,Hardware/Software,Deployment_Environment,Description_And_Application,Connectivity,Region Support,Notes
P1,Real IoT Kit,,Real Iot Solutions,N/A,Both,,"The Real IoT Kit is a comprehensive, plug-and-play solution designed to simplify the development and deployment of IoT projects.  It provides pre-configured hardware, including gateways and end devices, along with a selection of sensors from RAKwireless and third-party partners. This kit's ease of use and minimal configuration requirements make it ideal for rapid prototyping and deployment across various industries and applications.  Its scalability allows for integration with various IoT platforms, enabling seamless data collection and management. The kit is suitable for developers and businesses looking to quickly build and deploy IoT solutions without extensive technical expertise.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The Real IoT Kit offers a streamlined approach to IoT development, reducing the complexity often associated with integrating disparate hardware and software components.  Its plug-and-play nature accelerates the development cycle, allowing users to focus on application logic rather than low-level hardware configurations."
P2,Real IoT Sensor,,Real Iot Solutions,N/A,Hardware,,"The Real IoT Sensor is a plug-and-play IoT sensor designed for ease of use and integration into various IoT projects.  Its pre-configured hardware and comprehensive sensor options, provided through third-party hardware partners, allow for flexible deployment across a range of applications and industries. The sensor's scalability and integration with various IoT platforms make it suitable for both small-scale and large-scale deployments.  It simplifies data collection and transmission, reducing the need for extensive configurations.  The target applications are diverse and depend on the chosen sensor configuration, potentially including environmental monitoring, asset tracking, industrial automation, and smart agriculture.",,"EU433, CN470, IN865, EU868, AU915, US915, KR920, RU864, AS923","The Real IoT Sensor is part of the Real IoT Solutions Marketplace, offering a comprehensive collection of plug-and-play IoT solutions.  Further details on specific sensor options and connectivity are available in the product documentation."
P3,All-in-One 5G,,5G,N/A,Hardware,Indoor,"The All-in-One 5G is an indoor gateway that integrates AGW, LTE, 5G NR, and LoRaWAN connectivity into a single device.  Its primary function is to provide a comprehensive and versatile solution for connecting various IoT devices and networks.  This device is ideal for applications requiring high-bandwidth and low-latency communication, as well as long-range LoRaWAN connectivity.  It is suitable for a wide range of industries and applications, including smart home automation, industrial IoT deployments, and large-scale data collection projects. The integrated nature of the device simplifies deployment and reduces the complexity of managing multiple separate systems.  The All-in-One 5G facilitates seamless integration of various communication technologies, enabling a robust and scalable IoT infrastructure.","AGW, LTE, 5G NR, LoRaWAN, 2.5 GbE",US915,The All-in-One 5G supports PoE++ (802.3bt) power supply for easy setup. It features built-in antennas and offers both table and wall mounting options.  The device includes ECC security and supports Over-The-Air (OTA) upgrades.  It utilizes a low-power ARM platform with 4G RAM and 32G eMMC storage. The 24 dBm RF transmit power ensures robust signal transmission.
P4,RAK7240V2/RAK7240CV2 WisGate Edge Prime,RAK7240V2/RAK7240CV2,Wisgate,N/A,Both,Both,"The RAK7240V2/RAK7240CV2 WisGate Edge Prime is a cost-effective LoRaWAN gateway designed for large-scale LPWAN deployments where cost efficiency is crucial without compromising performance.  Available in 8 or 16-channel versions, it maximizes the use of available LoRaWAN channels depending on regional requirements.  Supporting multi-backhaul via Ethernet, Wi-Fi, and optional cellular connectivity (RAK7240CV2), it offers adaptable network infrastructure integration.  Running on WisGateOS 2 (based on OpenWrt), it provides a user-friendly web UI, supports multiple extension installations, and enables remote management through WisDM for personalized gateway customization.  Its flexibility suits various deployment scenarios, from rapid installations to extensive UI and functional customizations.  In agriculture, it facilitates remote livestock monitoring, precise irrigation control, and environmental monitoring across large farm areas.  Within industrial settings, it supports automation, remote equipment monitoring, predictive maintenance, and supply chain optimization.  For smart cities, it contributes to infrastructure management, urban traffic control, environmental protection, and public safety applications. The flat surface of its full-metal enclosure allows for logo addition for branding.","LoRaWAN, Ethernet, Wi-Fi, Cellular (optional)","EU868, IN865, RU864, US915, AU915, KR920, AS923, EU433, CN470","The cellular option is only available for the 8-channel LoRaWAN gateway.  It features an IP65 industrial-grade enclosure with cable glands and PoE (802.3af) power supply with surge protection.  Supports 9-24V DC input and is compatible with the RAK Solar Battery Kit (for gateways with DC input).  External antennas are provided for Wi-Fi, GPS, LTE (optional), and LoRa.  The gateway includes a built-in network server (LoRaWAN v1.0.3 support), offers LoRa frame filtering (node whitelisting in Packet Forwarder mode), and provides MQTT v3.1 bridging with TLS encryption.  Optional features include fine timestamping and buffering of LoRa frames during network server outages to prevent data loss. Certified with CE and ANATEL."
P5,RAK7267 WisGate Soho Pro,RAK7267,Wisgate,N/A,Hardware,Outdoor,"The RAK7267 WisGate Soho Pro is an 8-channel LoRaWAN gateway designed for robust outdoor deployments, offering reliable long-range wireless connectivity for various applications.  Its support for Wi-Fi and cellular (LTE) backhaul provides flexible network integration options, adapting to diverse deployment scenarios.  The IP67-rated Unify enclosure ensures weatherproof protection, safeguarding internal components from harsh environmental conditions.  Powered by WisGateOS 2 (based on OpenWrt), it offers a user-friendly interface, supports multiple extension installations, and enables remote management through WisDM for personalized gateway customization.  The RAK7267 finds applications across numerous industries. In agriculture, it facilitates remote monitoring of soil moisture, weather conditions, crop health, and enables precise irrigation control.  In industrial settings, it supports automation, remote equipment monitoring, and predictive maintenance, contributing to Industry 4.0 initiatives.  For smart cities, it enables efficient management of infrastructure, urban traffic, solar-powered street lighting, energy management, and public safety systems.  Its versatility and robust design make it ideal for large-scale LPWAN deployments requiring reliable and secure connectivity in challenging environments.","LoRaWAN, Wi-Fi, LTE","EU868, IN865, RU864, US915, AU915, KR920, AS923","The RAK7267 features an IP67 Unify enclosure with integrated antennas for LoRa, LTE, Wi-Fi, and GPS. It supports 9~36V DC power supply and is compatible with the RAK Solar Battery Kit, offering flexible power options.  The gateway utilizes the Semtech SX1303 LoRa concentrator and includes features like LoRa frame filtering, MQTT v3.1 bridging with TLS encryption, and Listen Before Talk. It is certified with CE, FCC, ISED, RCM, RoHS, RSM, and UKCA."
P6,RAK7289V2/RAK7289CV2 WisGate Edge Pro V2,RAK7289V2/RAK7289CV2,Wisgate,N/A,Both,Outdoor,"The RAK7289V2/RAK7289CV2 WisGate Edge Pro V2 is a high-reliability LoRaWAN gateway designed for large-scale deployments, offering robust long-range wireless connectivity.  It features multi-backhaul options including Ethernet, Wi-Fi, and optional cellular (RAK7289CV2), providing flexibility in network infrastructure.  Its industrial-grade design, incorporating internal antennas for Wi-Fi, GPS, and LTE (optional), ensures durability and aesthetic appeal.  Powered by WisGateOS 2 based on OpenWrt, it supports extensive customization and remote management through WisDM.  This gateway is ideal for various applications across diverse sectors. In agriculture, it facilitates remote livestock monitoring, environmental monitoring, asset tracking, irrigation control, and soil health analysis.  In industrial settings, it enables automation, remote equipment monitoring, and predictive maintenance.  For smart cities, it supports infrastructure management, urban traffic control, environmental protection, and public safety initiatives. The gateway's adaptability and powerful software capabilities make it a versatile solution for connecting numerous IoT devices in demanding environments.","LoRaWAN, Ethernet, Wi-Fi, LTE (optional)","EU868, IN865, US915, AU915, KR920, AS923, EU433, CN470",Available in 8-channel and 16-channel versions.  Supports PoE (802.3af) and 12V DC power input. Includes IP67/NEMA-6 industrial-grade enclosure with cable glands and surge protection.  Optional features include dying-gasp and fine timestamping.  The RAK7289CV2 model includes LTE connectivity.  Use of solar chargers is strongly discouraged due to potential overvoltage damage.
P7,RAK7268V2/RAK7268CV2 WisGate Edge Lite 2,RAK7268V2/RAK7268CV2,Wisgate,N/A,Both,Indoor,"The RAK7268V2/RAK7268CV2 WisGate Edge Lite 2 is a cost-effective indoor LoRaWAN gateway designed for a wide range of IoT applications.  Its built-in Ethernet and 2.4 GHz Wi-Fi simplify deployment and configuration, while the RAK7268CV2 version offers optional LTE cellular backhaul for enhanced flexibility in remote locations.  Running on WisGateOS 2, it provides robust functionality, enhanced security, and customization options through extensions.  Seamless integration with WisDM allows for efficient fleet management and remote monitoring of multiple gateways, making it ideal for managing large-scale IoT networks.  Applications span various sectors, including smart homes (connecting devices like door locks, lighting, and sensors), smart buildings (monitoring temperature, humidity, and energy consumption), and utilities (detecting leaks, monitoring usage, and analyzing system performance). The gateway's adaptability makes it suitable for diverse industries requiring reliable and scalable long-range wireless connectivity.","LoRaWAN, Ethernet, Wi-Fi, LTE (RAK7268CV2)","EU868,IN865,RU864,US915,AU915,KR920,AS923,EU433,CN470","The gateway features 8 LoRa channels and supports both Basic Station and Packet Forwarder modes.  It includes an SD card for log backup and LoRa frame buffering during backhaul failover.  A 9-24V DC power input is available upon request.  The gateway is certified with ANATEL, CE, FCC, JRL, JTBL, KC, RCM, REACH, RoHS, RSM, and UKCA.  It offers desktop, wall, and rail mounting options."
P8,RAK7285/RAK7285C WisGate Edge Ultra,RAK7285/RAK7285C,Wisgate,N/A,Hardware,Outdoor,"The RAK7285/RAK7285C WisGate Edge Ultra is a high-performance LoRaWAN gateway designed for high-density network deployments requiring reliable full-duplex communication.  It addresses the limitations of half-duplex communication, making it ideal for smart city infrastructure, metering applications, and other scenarios demanding scalable two-way connectivity.  Supporting up to 8 LoRa channels in full-duplex (with a 16-channel variant planned), it offers multi-backhaul options including Ethernet, Wi-Fi, and cellular (RAK7285C).  Integrated advanced cavity diplexers provide superior out-of-band interference suppression and lightning protection for the LoRa antennas.  Running on WisGateOS 2 (based on OpenWrt), it features a user-friendly web UI, supports multiple extensions, and allows for remote management via WisDM.  Its applications span diverse sectors: in agriculture, it facilitates remote livestock monitoring, environmental monitoring, asset tracking, irrigation control, and soil health analysis; in industrial settings, it enables automation, remote equipment monitoring, and predictive maintenance; and in smart cities, it supports infrastructure management, urban traffic control, environmental protection, and public safety initiatives.","LoRaWAN, Ethernet, Wi-Fi, LTE (RAK7285C)","US915, AU915","The RAK7285C model includes integrated LTE connectivity.  The gateway features an IP67 industrial-grade enclosure with cable glands, PoE (802.3at) power supply, surge protection, and supports 9~36V DC power input and the RAK Solar Battery Kit.  It utilizes external antennas for GPS and LoRa, and offers an optional dying-gasp feature.  The device includes built-in cavity diplexers for out-of-band interference suppression and lightning protection for the LoRa antennas. The SIM card slot is not hot-swappable; power down the gateway before inserting or removing the SIM card. The SD card should not be ejected as it stores important logs and data."
P9,RAK Hotspot V2,,Wisgate,N/A,Hardware,Both,"The RAK Hotspot V2 is a Helium Hotspot designed for efficient cryptocurrency mining (HNT).  It leverages LongFi technology, a combination of LoRaWAN and the Helium Blockchain, to maximize range and battery life for IoT devices.  The device facilitates the creation of a global network capable of connecting billions of devices.  It earns Helium by connecting devices and validating wireless coverage, with earnings increased through Proof-of-Coverage when within range of other hotspots.  Its applications extend to various industries requiring long-range, low-power connectivity, such as smart city initiatives, environmental monitoring, and asset tracking.  The RAK Hotspot V2 simplifies setup and management through a user-friendly mobile application.","LoRaWAN, Wi-Fi (2.4 GHz and 5.0 GHz), Bluetooth 5.0, BLE","RU864, IN865, EU868, US915, AU915, KR920, AS923","The RAK Hotspot V2 utilizes a Raspberry Pi 4 computer board with 2GB, 4GB, or 8GB of RAM and a 32GB SD card. It features a built-in heat sink, supports a 5V/2.4A power supply, and has an IP30 housing.  The LoRa transmitter boasts a power of up to 27 dBm, and the receiver sensitivity is down to -139 dBm @SF12, BW 125 kHz.  The device is certified with BSMI, CE, ERP, FCC, IMDA, KC, NBTC, NCC, NTC, RCM, REACH, RoHS, SUTEL, UKCA, and Vietnam certifications.  It includes a LoRa antenna with RP-SMA Male connector."
P10,RAK Hotspot,,Wisgate,N/A,Hardware,Both,"The RAK Hotspot is a Helium Hotspot designed for efficient Helium (HNT) cryptocurrency mining.  It offers a quick setup process using a smartphone and leverages LongFi technology for extended range and battery life without requiring Wi-Fi, cellular, or Bluetooth.  The device is low-power, consuming approximately the same energy as an LED light bulb (5W).  Hotspots and tokens can be easily managed through a mobile application.  The RAK Hotspot utilizes LongFi technology, a combination of LoRaWAN and the Helium Blockchain, optimized for long-range connectivity and extended battery life for IoT devices.  It earns Helium by connecting devices and validating wireless coverage provided by peer hotspots.  Proof-of-Coverage functionality allows for increased Helium earnings when within range of other hotspots (at least 300 meters apart).  Range varies depending on the environment, reaching up to 10 miles or more in rural areas and up to a mile in dense urban areas.  While a single hotspot earns less due to limited participation in Proof-of-Coverage, multiple hotspots can provide extensive coverage across large areas.  The RAK Hotspot contributes to a global network for billions of IoT devices, enabling Helium-enabled devices using readily available hardware, software, and an open-source reference design.",LoRaWAN,"RU864, IN865, EU868, US915, AU915, KR920, AS923","The RAK Hotspot uses a Raspberry Pi 4 with 2GB RAM and a 32GB SD card. It features a built-in heat sink for thermal management and supports a 5V/3A power supply.  The housing is IP30 rated.  It has a TX power up to 27 dBm and RX sensitivity down to -139 dBm @SF12, BW 125 kHz.  The device includes a Pi-ready 'ID EE PROM', GPIO setup, and device tree that can be automatically configured from vendor information. It supports a fully open-source LoRaWAN server.  The device is certified with KC and RCM certifications and complies with FCC and ISEDC regulations.  The minimum distance from the body during operation should be 20cm."
